admin1_name,idps_count
Hirat,1176981
Kabul,1059573
Balkh,475617
Nangarhar,445055
Hilmand,350428
Kandahar,236451
Sar-e-Pul,205708
Kunduz,200706
Farah,171702
Ghazni,166799
Zabul,166110
Faryab,155059
Ghor,147089
Takhar,146000
Badghis,145025
Kunar,132048
Jawzjan,121602
Nimroz,119978
Uruzgan,113404
Khost,103385
Badakhshan,98468
Baghlan,95390
Parwan,86963
Laghman,68096
Paktya,65862
Kapisa,51567
Samangan,48493
Paktika,46196
Maidan Wardak,44010
Bamyan,36893
Daykundi,33418
Logar,26618
Nuristan,13711
Panjsher,3450
