year,ASY,REF,RET,total
2001,40545,9854173,26092.0,9920810.0
2002,34359,5011068,4513345.0,9558772.0
2003,32566,6083093,1676767.0,7792426.0
2004,21965,6275949,2456266.0,8754180.0
2005,19233,5126868,1794936.0,6941037.0
2006,24252,5009954,682740.0,5716946.0
2007,23380,5764432,1119241.0,6907053.0
2008,49479,6264038,847717.0,7161234.0
2009,65518,6545396,188346.0,6799260.0
2010,74249,6952213,354010.0,7380472.0
2011,82238,6174191,433428.0,6689857.0
2012,126977,6030946,344217.0,6502140.0
2013,147851,5941323,182685.0,6271859.0
2014,214189,5773385,51795.0,6039369.0
2015,572331,5965172,549264.0,7086767.0
2016,895463,5417178,1129102.0,7441743.0
2017,862484,5752215,276114.0,6890813.0
2018,814308,5894498,121139.0,6829945.0
2019,669724,5930389,24566.0,6624679.0
2020,653261,5838268,6599.0,6498128.0
2021,704586,7528203,2377151.0,10609940.0
2022,765204,16213516,727848.0,17706568.0
2023,567566,18449252,262081.0,19278899.0
2024,943281,16886669,1161252.0,18991202.0
