location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,all,current,46024355,1.0,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,3+,current,12590286,0.27,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,1,current,14687175,0.32,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,2,current,18746894,0.41,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,3,current,10635326,0.23,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,4,current,1954959,0.04,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,5,current,0,0.0,2025-03-01,2025-04-30
AFG,True,True,,,,,,,0,all,first projection,46024355,1.0,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,3+,first projection,9520311,0.2,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,1,first projection,15823828,0.34,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,2,first projection,20680215,0.45,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,3,first projection,7925695,0.17,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,4,first projection,1594616,0.03,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,5,first projection,0,0.0,2025-05-01,2025-10-31
AFG,True,True,,,,,,,0,all,current,46024354,1.0,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,3+,current,11610606,0.25,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,1,current,14192140,0.31,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,2,current,20204146,0.44,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,3,current,9798949,0.21,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,4,current,1811656,0.04,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,5,current,0,0.0,2024-09-01,2024-10-31
AFG,True,True,,,,,,,0,all,first projection,46024354,1.0,2024-11-01,2025-03-31
AFG,True,True,,,,,,,0,3+,first projection,14764724,0.32,2024-11-01,2025-03-31
AFG,True,True,,,,,,,0,1,first projection,12534324,0.27,2024-11-01,2025-03-31
AFG,True,True,,,,,,,0,2,first projection,18725306,0.41,2024-11-01,2025-03-31
