location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,246362,1,2017-03-30,2017-03-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,945182,2,2017-06-30,2017-06-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,1728157,3,2017-12-31,2017-12-31
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,1843833,4,2018-03-30,2018-03-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,1866925,5,2018-06-30,2018-06-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,2465495,6,2018-09-30,2018-09-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,3529971,7,2018-12-31,2018-12-31
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,4191521,8,2019-06-30,2019-06-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,4350900,9,2019-12-31,2019-12-31
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,4760478,10,2020-06-30,2020-06-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,4937277,11,2020-12-31,2020-12-31
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,4927639,12,2021-03-30,2021-03-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,5333654,13,2021-06-30,2021-06-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,5832454,14,2021-12-31,2021-12-31
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,5894220,15,2022-04-30,2022-04-30
AFG,True,True,,,,,,,0,Returns and displacement in Afghanistan,BA,6557855,16,2022-12-31,2022-12-31
AFG,True,True,Kabul,,AF01,Kabul,,,1,Returns and displacement in Afghanistan,BA,354742,2,2017-06-30,2017-06-30
AFG,True,True,Kabul,,AF01,Kabul,,,1,Returns and displacement in Afghanistan,BA,181548,3,2017-12-31,2017-12-31
AFG,True,True,Kabul,,AF01,Kabul,,,1,Returns and displacement in Afghanistan,BA,149443,4,2018-03-30,2018-03-30
