location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,org_acronym,org_name,org_type_description,sector_code,sector_name,reference_period_start,reference_period_end
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AADA,Agency for Assistance and Development of Afghanistan,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,ACHRO,Association of Chief Human Resource Officers,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,ADWSO,Afghanistan Development & Welfare Services Organization,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKAH,Aga Khan Agency for Habitat,International NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKAH,Aga Khan Agency for Habitat,International NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKAH,Aga Khan Agency for Habitat,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKF,Aga Khan Foundation,International Organization,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKHS,Aga Khan Health Service,International NGO,HEA,Health,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AKHS,Aga Khan Health Service,International NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,AWRO,Afghan Women’s Rights Organization,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,BDN,Bakhtar Development Network,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,CHA,Coordination of Humanitarian Assistance,National NGO,PRO,Protection,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,JACK,Just for Afghan Capacity and Knowledge,National NGO,NUT,Nutrition,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,ME,Mission East,International NGO,SHL,Emergency Shelter and NFI,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,SUO,Social Uplift Organization,National NGO,FSC,Food Security,2025-07-01,2025-09-30
AFG,True,True,Badakhshan,Arghanj Khwah,AF17,Badakhshan,AF1703,Arghanj Khwah,2,UNHCR,UN Refugee Agency,United Nations,PRO,Protection,2025-07-01,2025-09-30
