location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,,,,,,,0,f,all,None,None,19844212,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,all,None,None,20567657,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,all,None,None,40411869,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,0-4,0,4,3571135,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,0-4,0,4,3707169,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,0-4,0,4,7278304,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,5-9,5,9,3074578,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,5-9,5,9,3287301,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,5-9,5,9,6361879,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,10-14,10,14,2596038,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,10-14,10,14,2854676,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,10-14,10,14,5450714,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,15-19,15,19,2207556,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,15-19,15,19,2358275,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,15-19,15,19,4565831,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,20-24,20,24,1878525,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,20-24,20,24,1748303,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,20-24,20,24,3626828,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,25-29,25,29,1515233,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,25-29,25,29,1377017,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,25-29,25,29,2892250,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,30-34,30,34,1060459,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,30-34,30,34,1068417,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,30-34,30,34,2128876,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,35-39,35,39,858455,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,35-39,35,39,872978,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,35-39,35,39,1731433,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,40-44,40,44,787500,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,40-44,40,44,742594,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,40-44,40,44,1530094,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,45-49,45,49,656811,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,45-49,45,49,618145,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,45-49,45,49,1274956,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,50-54,50,54,504923,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,50-54,50,54,492761,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,50-54,50,54,997684,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,55-59,55,59,392537,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,55-59,55,59,411633,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,55-59,55,59,804170,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,60-64,60,64,291370,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,60-64,60,64,364200,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,60-64,60,64,655570,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,65-69,65,69,205202,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,65-69,65,69,281597,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,65-69,65,69,486799,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,70-74,70,74,126061,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,70-74,70,74,190017,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,70-74,70,74,316078,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,75-79,75,79,53939,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,75-79,75,79,89455,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,75-79,75,79,143394,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,f,80+,80,None,63890,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,m,80+,80,None,103119,2021-01-01,2021-12-31
AFG,True,True,,,,,,,0,all,80+,80,None,167009,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,f,all,None,None,666004,2021-01-01,2021-12-31
AFG,True,True,Badakhshan,,AF17,Badakhshan,,,1,m,all,None,None,691032,2021-01-01,2021-12-31
