location_code,has_hrp,in_gho,provider_admin1_name,admin1_code,admin1_name,admin_level,mpi,headcount_ratio,intensity_of_deprivation,vulnerable_to_poverty,in_severe_poverty,reference_period_start,reference_period_end
AFG,True,True,,,,0,0.2342,46.9358,49.9063,27.3813,20.8027,2015-01-01,2016-12-31
AFG,True,True,,,,0,0.2683,52.1779,51.426,26.3367,25.9715,2022-01-01,2023-12-31
AFG,True,True,Badakhshan,AF17,Badakhshan,1,0.2993,60.4351,49.5235,24.738,28.8921,2015-01-01,2016-12-31
AFG,True,True,Badakhshan,AF17,Badakhshan,1,0.305,64.2694,47.451,26.7436,22.8206,2022-01-01,2023-12-31
AFG,True,True,Badghis,AF31,Badghis,1,0.4161,77.9107,53.4021,17.2367,47.3259,2015-01-01,2016-12-31
AFG,True,True,Badghis,AF31,Badghis,1,0.4437,81.2721,54.5967,13.968,56.3865,2022-01-01,2023-12-31
AFG,True,True,Baghlan,AF09,Baghlan,1,0.2283,45.822,49.8125,30.2366,18.4283,2015-01-01,2016-12-31
AFG,True,True,Baghlan,AF09,Baghlan,1,0.3332,68.5503,48.6077,21.0723,30.012,2022-01-01,2023-12-31
AFG,True,True,Balkh,AF21,Balkh,1,0.1997,39.4961,50.5604,25.2644,18.0604,2015-01-01,2016-12-31
AFG,True,True,Balkh,AF21,Balkh,1,0.1755,36.3407,48.2959,21.4309,13.3836,2022-01-01,2023-12-31
AFG,True,True,Bamyan,AF10,Bamyan,1,0.2243,47.8084,46.9228,36.3083,16.2316,2015-01-01,2016-12-31
AFG,True,True,Bamyan,AF10,Bamyan,1,0.1557,33.7161,46.1769,37.0825,10.2924,2022-01-01,2023-12-31
AFG,True,True,Daykundi,AF24,Daykundi,1,0.256,57.8362,44.2585,36.2634,16.9149,2015-01-01,2016-12-31
AFG,True,True,Daykundi,AF24,Daykundi,1,0.2281,47.1238,48.406,30.6778,18.0359,2022-01-01,2023-12-31
AFG,True,True,Farah,AF33,Farah,1,0.2827,58.4861,48.3292,23.8044,24.0885,2015-01-01,2016-12-31
AFG,True,True,Farah,AF33,Farah,1,0.3951,72.7736,54.293,17.8726,45.039,2022-01-01,2023-12-31
AFG,True,True,Faryab,AF29,Faryab,1,0.1463,31.3311,46.6801,28.6928,12.0366,2015-01-01,2016-12-31
AFG,True,True,Faryab,AF29,Faryab,1,0.3749,68.3564,54.839,16.3815,41.3745,2022-01-01,2023-12-31
AFG,True,True,Ghazni,AF11,Ghazni,1,0.2072,41.5724,49.8414,36.122,20.0127,2015-01-01,2016-12-31
AFG,True,True,Ghazni,AF11,Ghazni,1,0.2337,46.0437,50.7469,34.663,19.3074,2022-01-01,2023-12-31
AFG,True,True,Ghor,AF23,Ghor,1,0.229,51.7429,44.2651,33.6859,13.7581,2015-01-01,2016-12-31
AFG,True,True,Ghor,AF23,Ghor,1,0.4132,79.144,52.2076,17.0006,48.4021,2022-01-01,2023-12-31
AFG,True,True,Helmand,AF30,Hilmand,1,0.2904,63.6381,45.6352,20.3984,23.0147,2015-01-01,2016-12-31
AFG,True,True,Helmand,AF30,Hilmand,1,0.4209,74.5329,56.4708,18.9662,47.9185,2022-01-01,2023-12-31
AFG,True,True,Herat,AF32,Hirat,1,0.2904,56.5791,51.3211,18.8994,30.7541,2015-01-01,2016-12-31
AFG,True,True,Herat,AF32,Hirat,1,0.2347,45.1989,51.918,23.0792,23.4302,2022-01-01,2023-12-31
AFG,True,True,Jawzjan,AF28,Jawzjan,1,0.2272,49.2435,46.1407,25.9318,11.455,2015-01-01,2016-12-31
AFG,True,True,Jawzjan,AF28,Jawzjan,1,0.2174,43.8862,49.5278,30.2898,17.1624,2022-01-01,2023-12-31
AFG,True,True,Kabul,AF01,Kabul,1,0.069,15.1721,45.485,26.1407,3.7226,2015-01-01,2016-12-31
AFG,True,True,Kabul,AF01,Kabul,1,0.0682,15.1416,45.0587,34.917,4.0778,2022-01-01,2023-12-31
AFG,True,True,Kandahar,AF27,Kandahar,1,0.4116,69.8793,58.8991,16.5666,46.5318,2015-01-01,2016-12-31
AFG,True,True,Kandahar,AF27,Kandahar,1,0.3811,69.0125,55.2184,19.3084,41.2368,2022-01-01,2023-12-31
AFG,True,True,Kapisa,AF02,Kapisa,1,0.1819,39.4239,46.1472,47.5761,13.8165,2015-01-01,2016-12-31
AFG,True,True,Kapisa,AF02,Kapisa,1,0.2991,61.3466,48.7569,28.6038,27.0128,2022-01-01,2023-12-31
AFG,True,True,Khost,AF14,Khost,1,0.1973,39.0942,50.4703,40.4763,19.4642,2015-01-01,2016-12-31
AFG,True,True,Khost,AF14,Khost,1,0.2231,46.2498,48.2461,34.3636,16.8045,2022-01-01,2023-12-31
