origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,AFG,True,True,OOC,f,0-4,0,4,8751,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,f,5-11,5,11,8775,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,f,12-17,12,17,5828,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,f,18-59,18,59,18958,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,f,60+,60,None,587,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,f,all,None,None,42899,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,0-4,0,4,8814,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,5-11,5,11,5017,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,12-17,12,17,4785,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,18-59,18,59,19273,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,60+,60,None,1807,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,m,all,None,None,39696,2020-01-01,2020-12-31
AFG,True,True,AFG,True,True,OOC,all,all,None,None,82595,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,5-11,5,11,5,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,f,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,ALB,False,False,OOC,all,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,5-11,5,11,5,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,18-59,18,59,6,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,f,all,None,None,11,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,18-59,18,59,14,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,m,all,None,None,14,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,ASY,all,all,None,None,25,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,12-17,12,17,5,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,f,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,ARE,False,False,REF,m,60+,60,None,0,2020-01-01,2020-12-31
